date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2,_reghdfe_resid,__hdfe1__,__hdfe2__
"2020-03-06","IRN","Alborz",1,1,1,1,1,0,0,0,256,365,2712400,06mar2020,5,3,2020,6,"Alborz",0,129,4.859812,.7489386,0,,,1,0,1,0,-.2338728,.2623319,-.14408344
"2020-03-11","IRN","Alborz",1,1,1,1,1,0,0,0,338,447,2712400,11mar2020,3,3,2020,11,"Alborz",0,45,3.806663,.3409266,0,,,1,0,1,0,-.67804059,.2623319,-.10792757
"2020-03-12","IRN","Alborz",1,1,1,1,1,0,0,0,412,521,2712400,12mar2020,4,3,2020,12,"Alborz",0,74,4.304065,.4974027,0,,,1,0,1,0,-.54977277,.2623319,-.07971937
"2020-03-14","IRN","Alborz",1,1,1,1,1,1,1,0,552,661,2712400,14mar2020,6,3,2020,14,"Alborz",0,134,4.89784,3.106081,0,,,1,0,1,1,2.3858911,.2623319,.01694164
"2020-03-17","IRN","Alborz",1,1,1,1,1,1,1,0,784,893,2712400,17mar2020,2,3,2020,17,"Alborz",0,116,4.75359,.8617699,0,,,1,0,1,1,.0568471,.2623319,.10167506
"2020-03-20","IRN","Alborz",1,1,1,1,1,1,1,0,1016,1125,2712400,20mar2020,5,3,2020,20,"Alborz",0,95,4.553877,.4430032,0,,,1,0,1,1,-.11616114,.2623319,-.14408344
"2020-03-22","IRN","Alborz",1,1,1,1,1,1,1,0,1131,1240,2712400,22mar2020,0,3,2020,22,"Alborz",0,60,4.094345,.0870113,0,,,1,0,1,1,-.86489092,.2623319,.24865449
"2020-03-08","IRN","Ardebil",1,1,1,1,1,0,0,0,47,47,1270420,08mar2020,0,3,2020,8,"Ardebil",0,9,2.197225,2.197225,0,,,1,0,1,0,.59110757,.49289966,.24865449
"2020-03-09","IRN","Ardebil",1,1,1,1,1,0,0,0,69,69,1270420,09mar2020,1,3,2020,9,"Ardebil",0,22,3.091043,.8938179,0,,,1,0,1,0,-.4281665,.49289966,-.03547815
"2020-03-12","IRN","Ardebil",1,1,1,1,1,0,0,0,103,103,1270420,12mar2020,4,3,2020,12,"Ardebil",0,14,2.639057,2.639057,0,,,1,0,1,0,1.3613142,.49289966,-.07971937
"2020-03-13","IRN","Ardebil",1,1,1,1,1,1,1,0,118,118,1270420,13mar2020,5,3,2020,13,"Ardebil",0,15,2.70805,.0689929,1,,,1,0,1,1,-.94109982,.49289966,-.14408344
"2020-03-14","IRN","Ardebil",1,1,1,1,1,1,1,0,151,151,1270420,14mar2020,6,3,2020,14,"Ardebil",0,33,3.496508,.7884574,0,,,1,0,1,1,-.16229975,.49289966,.01694164
"2020-03-19","IRN","Ardebil",1,1,1,1,1,1,1,0,226,226,1270420,19mar2020,4,3,2020,19,"Ardebil",0,16,2.772589,.4700036,0,,,1,0,1,1,-.38409253,.49289966,-.07971937
"2020-03-20","IRN","Ardebil",1,1,1,1,1,1,1,0,261,261,1270420,20mar2020,5,3,2020,20,"Ardebil",0,35,3.555348,.7827594,0,,,1,0,1,1,-.00697263,.49289966,-.14408344
"2020-03-22","IRN","Ardebil",1,1,1,1,1,1,1,0,286,286,1270420,22mar2020,0,3,2020,22,"Ardebil",0,19,2.944439,1.152679,0,,,1,0,1,1,-.02979055,.49289966,.24865449
"2020-03-10","IRN","Bushehr",1,1,1,1,1,0,0,0,18,18,1163400,10mar2020,2,3,2020,10,"Bushehr",0,7,1.94591,1.94591,0,,,1,1,1,0,.87066123,-.4050933,.10167506
"2020-03-17","IRN","Bushehr",1,1,1,1,1,1,1,0,42,42,1163400,17mar2020,2,3,2020,17,"Bushehr",0,4,1.386294,0,0,,,1,1,1,1,-.65160182,-.4050933,.10167506
"2020-03-18","IRN","Bushehr",1,1,1,1,1,1,1,0,46,46,1163400,18mar2020,3,3,2020,18,"Bushehr",0,4,1.386294,0,0,,,1,1,1,1,-.44199919,-.4050933,-.10792757
"2020-03-19","IRN","Bushehr",1,1,1,1,1,1,1,0,54,54,1163400,19mar2020,4,3,2020,19,"Bushehr",0,8,2.079442,.6931472,0,,,1,1,1,1,.22293978,-.4050933,-.07971937
"2020-03-08","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,0,0,0,21,21,947763,08mar2020,0,3,2020,8,"Chahar Mahall and Bakhtiari",0,5,1.609438,.9162908,0,,,1,1,1,0,-.16592892,-.54510191,.24865449
"2020-03-09","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,0,0,0,26,26,947763,09mar2020,1,3,2020,9,"Chahar Mahall and Bakhtiari",0,5,1.609438,0,0,,,1,1,1,0,-.79808704,-.54510191,-.03547815
"2020-03-10","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,0,0,0,37,37,947763,10mar2020,2,3,2020,10,"Chahar Mahall and Bakhtiari",0,11,2.397895,.7884574,0,,,1,1,1,0,-.14678285,-.54510191,.10167506
"2020-03-12","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,0,0,0,49,49,947763,12mar2020,4,3,2020,12,"Chahar Mahall and Bakhtiari",0,11,2.397895,2.397895,0,,,1,1,1,0,1.6440495,-.54510191,-.07971937
"2020-03-18","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,1,1,0,58,58,947763,18mar2020,3,3,2020,18,"Chahar Mahall and Bakhtiari",0,4,1.386294,.6931472,0,,,1,1,1,1,.39115662,-.54510191,-.10792757
"2020-03-20","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,1,1,0,64,64,947763,20mar2020,5,3,2020,20,"Chahar Mahall and Bakhtiari",0,3,1.098612,0,0,,,1,1,1,1,-.2658347,-.54510191,-.14408344
"2020-03-22","IRN","Chahar Mahall and Bakhtiari",1,1,1,1,1,1,1,0,68,68,947763,22mar2020,0,3,2020,22,"Chahar Mahall and Bakhtiari",0,2,.6931472,0,0,,,1,1,1,1,-.65857263,-.54510191,.24865449
"2020-03-06","IRN","East Azarbaijan",1,1,1,1,1,0,0,0,41,41,3909652,06mar2020,5,3,2020,6,"East Azarbaijan",0,10,2.302585,0,0,,,1,1,1,0,-1.0883042,-.14627949,-.14408344
"2020-03-08","IRN","East Azarbaijan",1,1,1,1,1,0,0,0,73,73,3909652,08mar2020,0,3,2020,8,"East Azarbaijan",0,30,3.401197,2.70805,0,,,1,1,1,0,1.2270081,-.14627949,.24865449
"2020-03-11","IRN","East Azarbaijan",1,1,1,1,1,0,0,0,141,141,3909652,11mar2020,3,3,2020,11,"East Azarbaijan",0,29,3.367296,.5340824,0,,,1,1,1,0,-.59037763,-.14627949,-.10792757
"2020-03-13","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,245,245,3909652,13mar2020,5,3,2020,13,"East Azarbaijan",0,97,4.574711,2.628801,1,,,1,1,1,1,1.7437831,-.14627949,-.14408344
"2020-03-17","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,453,453,3909652,17mar2020,2,3,2020,17,"East Azarbaijan",0,78,4.356709,.8013608,0,,,1,1,1,1,-.10905478,-.14627949,.10167506
"2020-03-18","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,537,537,3909652,18mar2020,3,3,2020,18,"East Azarbaijan",0,84,4.430817,.0741076,0,,,1,1,1,1,-.62670535,-.14627949,-.10792757
"2020-03-21","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,722,722,3909652,21mar2020,6,3,2020,21,"East Azarbaijan",0,72,4.276666,.2693329,0,,,1,1,1,1,-.55634932,-.14627949,.01694164
"2020-02-29","IRN","Esfahan",0,0,1,1,0,0,0,0,32,32,5120850,29feb2020,6,2,2020,29,"Esfahan",0,12,2.484907,.1823215,0,,,0,0,0,0,.21556036,.1134651,.01694164
"2020-03-01","IRN","Esfahan",0,1,1,1,0,0,0,0,45,45,5120850,01mar2020,0,3,2020,1,"Esfahan",0,13,2.564949,.0800426,0,,,1,0,1,0,-.63253568,.1134651,.24865449
"2020-03-06","IRN","Esfahan",1,1,1,1,1,1,0,0,313,359,5120850,06mar2020,5,3,2020,6,"Esfahan",0,150,5.010635,.2399507,0,,,1,1,1,0,-1.1080981,.1134651,-.14408344
"2020-03-11","IRN","Esfahan",1,1,1,1,1,1,0,0,713,759,5120850,11mar2020,3,3,2020,11,"Esfahan",0,170,5.135798,2.302585,0,,,1,1,1,0,.9183805,.1134651,-.10792757
"2020-03-13","IRN","Esfahan",1,1,1,1,1,1,1,0,827,873,5120850,13mar2020,5,3,2020,13,"Esfahan",0,110,4.70048,3.314186,1,,,1,1,1,1,2.1694238,.1134651,-.14408344
"2020-03-14","IRN","Esfahan",1,1,1,1,1,1,1,0,982,1028,5120850,14mar2020,6,3,2020,14,"Esfahan",0,155,5.043425,.3429446,0,,,1,1,1,1,-.74248217,.1134651,.01694164
"2020-03-18","IRN","Esfahan",1,1,1,1,1,1,1,0,1463,1509,5120850,18mar2020,3,3,2020,18,"Esfahan",0,162,5.087596,.7701082,0,,,1,1,1,1,-.19044936,.1134651,-.10792757
"2020-03-20","IRN","Esfahan",1,1,1,1,1,1,1,0,1716,1762,5120850,20mar2020,5,3,2020,20,"Esfahan",0,145,4.976734,.2946024,0,,,1,1,1,1,-.62979932,.1134651,-.14408344
"2020-03-07","IRN","Fars",1,1,1,1,1,0,0,0,79,107,4851274,07mar2020,6,3,2020,7,"Fars",0,14,2.639057,.0741081,0,,,1,1,1,0,-.76463116,-.55686945,.01694164
"2020-03-09","IRN","Fars",1,1,1,1,1,0,0,0,117,145,4851274,09mar2020,1,3,2020,9,"Fars",0,29,3.367296,1.170071,0,,,1,1,1,0,.38375162,-.55686945,-.03547815
"2020-03-11","IRN","Fars",1,1,1,1,1,0,0,0,154,182,4851274,11mar2020,3,3,2020,11,"Fars",0,19,2.944439,.0540671,0,,,1,1,1,0,-.65980293,-.55686945,-.10792757
"2020-03-12","IRN","Fars",1,1,1,1,1,0,0,0,183,211,4851274,12mar2020,4,3,2020,12,"Fars",0,29,3.367296,.4228568,0,,,1,1,1,0,-.31922147,-.55686945,-.07971937
"2020-03-13","IRN","Fars",1,1,1,1,1,1,1,0,216,244,4851274,13mar2020,5,3,2020,13,"Fars",0,33,3.496508,.1292119,1,,,1,1,1,1,-.34521587,-.55686945,-.14408344
"2020-03-16","IRN","Fars",1,1,1,1,1,1,1,0,279,307,4851274,16mar2020,1,3,2020,16,"Fars",0,43,3.7612,1.563976,0,,,1,1,1,1,1.2013031,-.55686945,-.03547815
"2020-03-18","IRN","Fars",1,1,1,1,1,1,1,0,370,398,4851274,18mar2020,3,3,2020,18,"Fars",0,60,4.094345,.6603575,0,,,1,1,1,1,.37013445,-.55686945,-.10792757
"2020-03-20","IRN","Fars",1,1,1,1,1,1,1,0,441,469,4851274,20mar2020,5,3,2020,20,"Fars",0,50,3.912023,.8675005,0,,,1,1,1,1,.61343339,-.55686945,-.14408344
"2020-03-22","IRN","Fars",1,1,1,1,1,1,1,0,489,517,4851274,22mar2020,0,3,2020,22,"Fars",0,26,3.258096,.1670539,0,,,1,1,1,1,-.47975115,-.55686945,.24865449
"2020-03-01","IRN","Gilan",1,1,1,1,0,0,0,0,102,102,2530696,01mar2020,0,3,2020,1,"Gilan",0,28,3.332205,.4989913,0,,,1,0,1,0,-.65360416,.55348226,.24865449
"2020-03-06","IRN","Gilan",1,1,1,1,1,1,0,0,308,407,2530696,06mar2020,5,3,2020,6,"Gilan",0,91,4.510859,.1288328,0,,,1,0,1,0,-1.1451289,.55348226,-.14408344
"2020-03-09","IRN","Gilan",1,1,1,1,1,1,0,0,408,507,2530696,09mar2020,1,3,2020,9,"Gilan",0,28,3.332205,2.639057,0,,,1,0,1,0,1.2564904,.55348226,-.03547815
"2020-03-12","IRN","Gilan",1,1,1,1,1,1,0,0,497,596,2530696,12mar2020,4,3,2020,12,"Gilan",0,84,4.430817,2.821379,0,,,1,0,1,0,1.4830529,.55348226,-.07971937
"2020-03-14","IRN","Gilan",1,1,1,1,1,1,1,0,681,780,2530696,14mar2020,6,3,2020,14,"Gilan",0,113,4.727388,.4647079,0,,,1,0,1,1,-.54663189,.55348226,.01694164
"2020-03-17","IRN","Gilan",1,1,1,1,1,1,1,0,787,886,2530696,17mar2020,2,3,2020,17,"Gilan",0,45,3.806663,.9162908,0,,,1,0,1,1,-.1797824,.55348226,.10167506
"2020-03-19","IRN","Gilan",1,1,1,1,1,1,1,0,881,980,2530696,19mar2020,4,3,2020,19,"Gilan",0,73,4.29046,1.245937,0,,,1,0,1,1,.33125837,.55348226,-.07971937
"2020-03-20","IRN","Gilan",1,1,1,1,1,1,1,0,980,1079,2530696,20mar2020,5,3,2020,20,"Gilan",0,99,4.59512,.3046603,0,,,1,0,1,1,-.54565434,.55348226,-.14408344
"2020-03-06","IRN","Golestan",1,1,1,1,1,0,0,0,104,104,1868819,06mar2020,5,3,2020,6,"Golestan",0,67,4.204693,2.818398,0,,,1,0,1,0,1.6749813,.42293772,-.14408344
"2020-03-11","IRN","Golestan",1,1,1,1,1,0,0,0,188,188,1868819,11mar2020,3,3,2020,11,"Golestan",0,9,2.197225,.8109303,0,,,1,0,1,0,-.36864279,.42293772,-.10792757
"2020-03-12","IRN","Golestan",1,1,1,1,1,0,0,0,213,213,1868819,12mar2020,4,3,2020,12,"Golestan",0,25,3.218876,1.021651,0,,,1,0,1,0,-.18612998,.42293772,-.07971937
"2020-03-16","IRN","Golestan",1,1,1,1,1,1,1,0,301,301,1868819,16mar2020,1,3,2020,16,"Golestan",0,42,3.73767,.5187938,0,,,1,0,1,1,-.30958161,.42293772,-.03547815
"2020-03-20","IRN","Golestan",1,1,1,1,1,1,1,0,375,375,1868819,20mar2020,5,3,2020,20,"Golestan",0,15,2.70805,.5108256,0,,,1,0,1,1,-.20894449,.42293772,-.14408344
"2020-03-22","IRN","Golestan",1,1,1,1,1,1,1,0,391,391,1868819,22mar2020,0,3,2020,22,"Golestan",0,10,2.302585,.5108256,0,,,1,0,1,1,-.60168243,.42293772,.24865449
"2020-03-07","IRN","Hamadan",1,1,1,1,1,0,0,0,29,39,1738234,07mar2020,6,3,2020,7,"Hamadan",0,11,2.397895,.4519852,0,,,1,0,1,0,-.24716875,-.18235056,.01694164
"2020-03-08","IRN","Hamadan",1,1,1,1,1,0,0,0,55,65,1738234,08mar2020,0,3,2020,8,"Hamadan",0,26,3.258096,.8602011,0,,,1,0,1,0,-.07066572,-.18235056,.24865449
"2020-03-12","IRN","Hamadan",1,1,1,1,1,0,0,0,91,101,1738234,12mar2020,4,3,2020,12,"Hamadan",0,12,2.484907,.5389966,0,,,1,0,1,0,-.0634964,-.18235056,-.07971937
"2020-03-15","IRN","Hamadan",1,1,1,1,1,1,1,0,119,129,1738234,15mar2020,0,3,2020,15,"Hamadan",0,11,2.397895,.4519852,0,,,1,0,1,1,-.05523456,-.18235056,.24865449
"2020-03-16","IRN","Hamadan",1,1,1,1,1,1,1,0,131,141,1738234,16mar2020,1,3,2020,16,"Hamadan",0,12,2.484907,.0870113,0,,,1,0,1,1,-.13607582,-.18235056,-.03547815
"2020-03-18","IRN","Hamadan",1,1,1,1,1,1,1,0,150,160,1738234,18mar2020,3,3,2020,18,"Hamadan",0,13,2.564949,.7731898,0,,,1,0,1,1,.62255206,-.18235056,-.10792757
"2020-03-20","IRN","Hamadan",1,1,1,1,1,1,1,0,158,168,1738234,20mar2020,5,3,2020,20,"Hamadan",0,5,1.609438,.5108256,0,,,1,0,1,1,.39634378,-.18235056,-.14408344
"2020-03-21","IRN","Hamadan",1,1,1,1,1,1,1,0,163,173,1738234,21mar2020,6,3,2020,21,"Hamadan",0,5,1.609438,0,0,,,1,0,1,1,-.27550694,-.18235056,.01694164
"2020-03-22","IRN","Hamadan",1,1,1,1,1,1,1,0,170,180,1738234,22mar2020,0,3,2020,22,"Hamadan",0,7,1.94591,.3364722,0,,,1,0,1,1,-.17074764,-.18235056,.24865449
"2020-03-09","IRN","Hormozgan",1,1,1,1,1,0,0,0,45,52,1776415,09mar2020,1,3,2020,9,"Hormozgan",0,17,2.833213,1.223775,0,,,1,1,1,0,.16733153,-.2867451,-.03547815
"2020-03-10","IRN","Hormozgan",1,1,1,1,1,0,0,0,62,69,1776415,10mar2020,2,3,2020,10,"Hormozgan",0,17,2.833213,0,0,,,1,1,1,0,-1.1935971,-.2867451,.10167506
"2020-03-16","IRN","Hormozgan",1,1,1,1,1,1,1,0,99,106,1776415,16mar2020,1,3,2020,16,"Hormozgan",0,16,2.772589,.8266786,0,,,1,1,1,1,.19388183,-.2867451,-.03547815
"2020-03-18","IRN","Hormozgan",1,1,1,1,1,1,1,0,117,124,1776415,18mar2020,3,3,2020,18,"Hormozgan",0,12,2.484907,.6931472,0,,,1,1,1,1,.13279981,-.2867451,-.10792757
"2020-03-20","IRN","Hormozgan",1,1,1,1,1,1,1,0,139,146,1776415,20mar2020,5,3,2020,20,"Hormozgan",0,17,2.833213,1.223775,0,,,1,1,1,1,.69958388,-.2867451,-.14408344
"2020-03-10","IRN","Ilam",1,1,1,1,1,0,0,0,54,57,580158,10mar2020,2,3,2020,10,"Ilam",0,25,3.218876,.4462872,0,,,1,1,1,0,-.55252991,-.4815251,.10167506
"2020-03-12","IRN","Ilam",1,1,1,1,1,0,0,0,67,70,580158,12mar2020,4,3,2020,12,"Ilam",0,7,1.94591,.1541506,0,,,1,1,1,0,-.66327204,-.4815251,-.07971937
"2020-03-13","IRN","Ilam",1,1,1,1,1,1,1,0,75,78,580158,13mar2020,5,3,2020,13,"Ilam",0,8,2.079442,.1335315,1,,,1,1,1,1,-.41624069,-.4815251,-.14408344
"2020-03-15","IRN","Ilam",1,1,1,1,1,1,1,0,99,102,580158,15mar2020,0,3,2020,15,"Ilam",0,18,2.890372,1.098612,0,,,1,1,1,1,.37646285,-.4815251,.24865449
"2020-03-17","IRN","Ilam",1,1,1,1,1,1,1,0,108,111,580158,17mar2020,2,3,2020,17,"Ilam",0,7,1.94591,1.252763,0,,,1,1,1,1,.6775929,-.4815251,.10167506
"2020-03-18","IRN","Ilam",1,1,1,1,1,1,1,0,118,121,580158,18mar2020,3,3,2020,18,"Ilam",0,10,2.302585,.356675,0,,,1,1,1,1,-.00889236,-.4815251,-.10792757
"2020-03-20","IRN","Ilam",1,1,1,1,1,1,1,0,146,149,580158,20mar2020,5,3,2020,20,"Ilam",0,20,2.995732,.9162908,0,,,1,1,1,1,.58687924,-.4815251,-.14408344
"2020-03-11","IRN","Kerman",1,1,1,1,1,0,0,0,56,63,3164718,11mar2020,3,3,2020,11,"Kerman",0,18,2.890372,1.504077,0,,,1,1,1,0,.74575193,-.51241401,-.10792757
"2020-03-13","IRN","Kerman",1,1,1,1,1,1,1,0,75,82,3164718,13mar2020,5,3,2020,13,"Kerman",0,12,2.484907,.5389966,1,,,1,1,1,1,.02011336,-.51241401,-.14408344
"2020-03-16","IRN","Kerman",1,1,1,1,1,1,1,0,95,102,3164718,16mar2020,1,3,2020,16,"Kerman",0,13,2.564949,.6190392,0,,,1,1,1,1,.21191128,-.51241401,-.03547815
"2020-03-17","IRN","Kerman",1,1,1,1,1,1,1,0,114,121,3164718,17mar2020,2,3,2020,17,"Kerman",0,19,2.944439,.3794897,0,,,1,1,1,1,-.16479143,-.51241401,.10167506
"2020-03-19","IRN","Kerman",1,1,1,1,1,1,1,0,139,146,3164718,19mar2020,4,3,2020,19,"Kerman",0,14,2.639057,.2411621,0,,,1,1,1,1,-.12172461,-.51241401,-.07971937
"2020-03-22","IRN","Kerman",1,1,1,1,1,1,1,0,167,174,3164718,22mar2020,0,3,2020,22,"Kerman",0,8,2.079442,0,0,,,1,1,1,1,-.69126053,-.51241401,.24865449
"2020-03-09","IRN","Kermanshah",1,1,1,1,1,0,0,0,42,49,1952434,09mar2020,1,3,2020,9,"Kermanshah",0,11,2.397895,1.704748,0,,,1,0,1,0,.79602476,.07963864,-.03547815
"2020-03-11","IRN","Kermanshah",1,1,1,1,1,0,0,0,57,64,1952434,11mar2020,3,3,2020,11,"Kermanshah",0,8,2.079442,.1335315,0,,,1,0,1,0,-.70274251,.07963864,-.10792757
"2020-03-12","IRN","Kermanshah",1,1,1,1,1,0,0,0,77,84,1952434,12mar2020,4,3,2020,12,"Kermanshah",0,20,2.995732,.9162908,0,,,1,0,1,0,.05180859,.07963864,-.07971937
"2020-03-15","IRN","Kermanshah",1,1,1,1,1,1,1,0,113,120,1952434,15mar2020,0,3,2020,15,"Kermanshah",0,13,2.564949,.4855077,0,,,1,0,1,1,-.28370126,.07963864,.24865449
"2020-03-16","IRN","Kermanshah",1,1,1,1,1,1,1,0,129,136,1952434,16mar2020,1,3,2020,16,"Kermanshah",0,16,2.772589,.2076395,0,,,1,0,1,1,-.27743689,.07963864,-.03547815
"2020-03-19","IRN","Kermanshah",1,1,1,1,1,1,1,0,173,180,1952434,19mar2020,4,3,2020,19,"Kermanshah",0,23,3.135494,1.189584,0,,,1,0,1,1,.74874901,.07963864,-.07971937
"2020-03-21","IRN","Kermanshah",1,1,1,1,1,1,1,0,222,229,1952434,21mar2020,6,3,2020,21,"Kermanshah",0,27,3.295837,.2047944,0,,,1,0,1,1,-.33270172,.07963864,.01694164
"2020-03-08","IRN","Khuzestan",1,1,1,1,1,0,0,0,53,84,4710509,08mar2020,0,3,2020,8,"Khuzestan",0,5,1.609438,1.609438,0,,,1,1,1,0,.09210158,-.10998522,.24865449
"2020-03-10","IRN","Khuzestan",1,1,1,1,1,0,0,0,94,125,4710509,10mar2020,2,3,2020,10,"Khuzestan",0,37,3.610918,2.224623,0,,,1,1,1,0,.85426652,-.10998522,.10167506
"2020-03-12","IRN","Khuzestan",1,1,1,1,1,0,0,0,142,173,4710509,12mar2020,4,3,2020,12,"Khuzestan",0,31,3.433987,.6007738,0,,,1,1,1,0,-.58818869,-.10998522,-.07971937
"2020-03-14","IRN","Khuzestan",1,1,1,1,1,1,1,0,205,236,4710509,14mar2020,6,3,2020,14,"Khuzestan",0,48,3.871201,1.163151,0,,,1,1,1,1,.30117433,-.10998522,.01694164
"2020-03-16","IRN","Khuzestan",1,1,1,1,1,1,1,0,290,321,4710509,16mar2020,1,3,2020,16,"Khuzestan",0,53,3.970292,.5045559,0,,,1,1,1,1,-.30500074,-.10998522,-.03547815
"2020-03-18","IRN","Khuzestan",1,1,1,1,1,1,1,0,343,374,4710509,18mar2020,3,3,2020,18,"Khuzestan",0,28,3.332205,.1133287,0,,,1,1,1,1,-.62377855,-.10998522,-.10792757
"2020-03-21","IRN","Khuzestan",1,1,1,1,1,1,1,0,406,437,4710509,21mar2020,6,3,2020,21,"Khuzestan",0,31,3.433987,1.131402,0,,,1,1,1,1,.26942556,-.10998522,.01694164
"2020-03-16","IRN","Kohgiluyeh and Buyer Ahmad",1,1,1,1,1,1,1,0,32,32,713052,16mar2020,1,3,2020,16,"Kohgiluyeh and Buyer Ahmad",0,5,1.609438,1.609438,0,,,1,1,1,1,.19968226,.49021379,-.03547815
"2020-03-19","IRN","Kohgiluyeh and Buyer Ahmad",1,1,1,1,1,1,1,0,60,60,713052,19mar2020,4,3,2020,19,"Kohgiluyeh and Buyer Ahmad",0,15,2.70805,.143101,0,,,1,1,1,1,-1.2224135,.49021379,-.07971937
"2020-03-21","IRN","Kohgiluyeh and Buyer Ahmad",1,1,1,1,1,1,1,0,73,73,713052,21mar2020,6,3,2020,21,"Kohgiluyeh and Buyer Ahmad",0,12,2.484907,2.484907,0,,,1,1,1,1,1.0227312,.49021379,.01694164
"2020-03-06","IRN","Kordestan",1,1,1,1,1,0,0,0,42,42,1603011,06mar2020,5,3,2020,6,"Kordestan",0,24,3.178054,1.386294,0,,,1,0,1,0,.23858959,.42722532,-.14408344
"2020-03-08","IRN","Kordestan",1,1,1,1,1,0,0,0,63,63,1603011,08mar2020,0,3,2020,8,"Kordestan",0,19,2.944439,2.251292,0,,,1,0,1,0,.71084904,.42722532,.24865449
"2020-03-10","IRN","Kordestan",1,1,1,1,1,0,0,0,78,78,1603011,10mar2020,2,3,2020,10,"Kordestan",0,12,2.484907,1.386294,0,,,1,0,1,0,-.00716891,.42722532,.10167506
"2020-03-12","IRN","Kordestan",1,1,1,1,1,0,0,0,93,93,1603011,12mar2020,4,3,2020,12,"Kordestan",0,9,2.197225,.4054651,0,,,1,0,1,0,-.80660373,.42722532,-.07971937
"2020-03-13","IRN","Kordestan",1,1,1,1,1,1,1,0,102,102,1603011,13mar2020,5,3,2020,13,"Kordestan",0,9,2.197225,0,1,,,1,0,1,1,-.94441835,.42722532,-.14408344
"2020-03-15","IRN","Kordestan",1,1,1,1,1,1,1,0,134,134,1603011,15mar2020,0,3,2020,15,"Kordestan",0,27,3.295837,1.686399,0,,,1,0,1,1,.56960331,.42722532,.24865449
"2020-03-16","IRN","Kordestan",1,1,1,1,1,1,1,0,165,165,1603011,16mar2020,1,3,2020,16,"Kordestan",0,31,3.433987,.1381502,0,,,1,0,1,1,-.69451282,.42722532,-.03547815
