areatype,areaname,areacode,date,newcasesbyspecimendate,cumcasesbyspecimendate,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,transit_suspension,home_isolation,travel_ban_local,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_uk_1,p_uk_2,p_uk_3,p_uk_4,p_uk_5
"region","East Midlands","E12000004","2020-03-04",2,16,"East Midlands",16,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"East Midlands",0,,,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-05",3,19,"East Midlands",19,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"East Midlands",0,3,1.098612,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-06",7,26,"East Midlands",26,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,06mar2020,5,3,2020,6,"East Midlands",0,7,1.94591,.8472978,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-07",4,30,"East Midlands",30,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,07mar2020,6,3,2020,7,"East Midlands",0,4,1.386294,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-08",1,31,"East Midlands",31,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,08mar2020,0,3,2020,8,"East Midlands",0,1,0,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-09",10,41,"East Midlands",41,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,09mar2020,1,3,2020,9,"East Midlands",0,10,2.302585,2.302585,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-10",12,53,"East Midlands",53,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,10mar2020,2,3,2020,10,"East Midlands",0,12,2.484907,.1823215,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-11",25,78,"East Midlands",78,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,11mar2020,3,3,2020,11,"East Midlands",0,25,3.218876,.7339692,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-12",18,96,"East Midlands",96,"0","0","0","0","0","0","0","0","0","0","2","1","0",0,0,0,0,0,0,0,12mar2020,4,3,2020,12,"East Midlands",0,18,2.890372,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-13",22,118,"East Midlands",118,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,13mar2020,5,3,2020,13,"East Midlands",0,22,3.091043,.2006707,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-14",19,137,"East Midlands",137,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,14mar2020,6,3,2020,14,"East Midlands",0,19,2.944439,,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-15",26,163,"East Midlands",163,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,15mar2020,0,3,2020,15,"East Midlands",0,26,3.258096,.3136575,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-16",34,197,"East Midlands",197,"0","1","1","0","0","1","0","0","0","0","2","1","0",0,1,1,0,0,1,0,16mar2020,1,3,2020,16,"East Midlands",0,34,3.526361,.2682641,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-17",33,230,"East Midlands",230,"0","1","1","0","0","1","0","0","0","1","2","1","0",0,1,1,0,0,1,0,17mar2020,2,3,2020,17,"East Midlands",0,33,3.496508,,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-18",49,279,"East Midlands",279,"3","1","1","0","0","1","0","0","0","1","2","1","0",1,1,1,0,0,1,0,18mar2020,3,3,2020,18,"East Midlands",0,49,3.89182,.3953125,,,1,1,0,0,0
"region","East Midlands","E12000004","2020-03-19",66,345,"East Midlands",345,"3","1","1","0","0","1","0","0","0","2","2","1","0",1,1,1,0,0,1,0,19mar2020,4,3,2020,19,"East Midlands",0,66,4.189655,.2978346,,,1,1,0,0,0
"region","East Midlands","E12000004","2020-03-20",53,398,"East Midlands",398,"3","1","1","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,20mar2020,5,3,2020,20,"East Midlands",0,53,3.970292,,,,1,1,0,1,0
"region","East Midlands","E12000004","2020-03-21",69,467,"East Midlands",467,"3","2","2","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,21mar2020,6,3,2020,21,"East Midlands",0,69,4.234107,.2638147,,,1,1,0,1,0
"region","East Midlands","E12000004","2020-03-22",99,566,"East Midlands",566,"3","2","2","0","1","2","2","0","2","2","2","1","0",1,1,1,0,1,1,1,22mar2020,0,3,2020,22,"East Midlands",0,99,4.59512,.3610134,,,1,1,0,1,1
"region","East Midlands","E12000004","2020-03-23",117,683,"East Midlands",683,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,23mar2020,1,3,2020,23,"East Midlands",0,117,4.762174,.1670542,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-24",136,819,"East Midlands",819,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,24mar2020,2,3,2020,24,"East Midlands",0,136,4.912655,.1504807,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-25",116,935,"East Midlands",935,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,25mar2020,3,3,2020,25,"East Midlands",0,116,4.75359,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-26",154,1089,"East Midlands",1089,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,26mar2020,4,3,2020,26,"East Midlands",0,154,5.036952,.2833624,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-27",137,1226,"East Midlands",1226,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,27mar2020,5,3,2020,27,"East Midlands",0,137,4.919981,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-28",159,1385,"East Midlands",1385,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,28mar2020,6,3,2020,28,"East Midlands",0,159,5.068904,.1489234,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-29",129,1514,"East Midlands",1514,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,29mar2020,0,3,2020,29,"East Midlands",0,129,4.859812,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-30",207,1721,"East Midlands",1721,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,30mar2020,1,3,2020,30,"East Midlands",0,207,5.332719,.4729066,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-03-31",277,1998,"East Midlands",1998,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,31mar2020,2,3,2020,31,"East Midlands",0,277,5.624018,.2912989,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-01",296,2294,"East Midlands",2294,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,01apr2020,3,4,2020,1,"East Midlands",0,296,5.69036,.0663419,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-02",213,2507,"East Midlands",2507,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,02apr2020,4,4,2020,2,"East Midlands",0,213,5.361292,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-03",259,2766,"East Midlands",2766,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,03apr2020,5,4,2020,3,"East Midlands",0,259,5.556828,.1955357,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-04",189,2955,"East Midlands",2955,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,04apr2020,6,4,2020,4,"East Midlands",0,189,5.241747,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-05",148,3103,"East Midlands",3103,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,05apr2020,0,4,2020,5,"East Midlands",0,148,4.997212,,,,1,1,1,1,1
"region","East Midlands","E12000004","2020-04-06",215,3318,"East Midlands",3318,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,06apr2020,1,4,2020,6,"East Midlands",0,215,5.370638,.3734255,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-04",7,19,"East of England",19,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"East of England",0,,,,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-05",1,20,"East of England",20,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"East of England",0,1,0,,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-06",5,25,"East of England",25,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,06mar2020,5,3,2020,6,"East of England",0,5,1.609438,1.609438,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-07",3,28,"East of England",28,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,07mar2020,6,3,2020,7,"East of England",0,3,1.098612,,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-08",2,30,"East of England",30,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,08mar2020,0,3,2020,8,"East of England",0,2,.6931472,,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-09",4,34,"East of England",34,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,09mar2020,1,3,2020,9,"East of England",0,4,1.386294,.6931472,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-10",16,50,"East of England",50,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,10mar2020,2,3,2020,10,"East of England",0,16,2.772589,1.386294,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-11",14,64,"East of England",64,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,11mar2020,3,3,2020,11,"East of England",0,14,2.639057,,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-12",18,82,"East of England",82,"0","0","0","0","0","0","0","0","0","0","2","1","0",0,0,0,0,0,0,0,12mar2020,4,3,2020,12,"East of England",0,18,2.890372,.2513144,,,0,0,0,0,0
"region","East of England","E12000006","2020-03-13",37,119,"East of England",119,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,13mar2020,5,3,2020,13,"East of England",0,37,3.610918,.720546,,,0,1,0,0,0
"region","East of England","E12000006","2020-03-14",16,135,"East of England",135,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,14mar2020,6,3,2020,14,"East of England",0,16,2.772589,,,,0,1,0,0,0
"region","East of England","E12000006","2020-03-15",35,170,"East of England",170,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,15mar2020,0,3,2020,15,"East of England",0,35,3.555348,.7827594,,,0,1,0,0,0
"region","East of England","E12000006","2020-03-16",23,193,"East of England",193,"0","1","1","0","0","1","0","0","0","0","2","1","0",0,1,1,0,0,1,0,16mar2020,1,3,2020,16,"East of England",0,23,3.135494,,,,0,1,0,0,0
"region","East of England","E12000006","2020-03-17",39,232,"East of England",232,"0","1","1","0","0","1","0","0","0","1","2","1","0",0,1,1,0,0,1,0,17mar2020,2,3,2020,17,"East of England",0,39,3.663562,.5280674,,,0,1,0,0,0
"region","East of England","E12000006","2020-03-18",74,306,"East of England",306,"3","1","1","0","0","1","0","0","0","1","2","1","0",1,1,1,0,0,1,0,18mar2020,3,3,2020,18,"East of England",0,74,4.304065,.6405036,,,1,1,0,0,0
"region","East of England","E12000006","2020-03-19",56,362,"East of England",362,"3","1","1","0","0","1","0","0","0","2","2","1","0",1,1,1,0,0,1,0,19mar2020,4,3,2020,19,"East of England",0,56,4.025352,,,,1,1,0,0,0
"region","East of England","E12000006","2020-03-20",70,432,"East of England",432,"3","1","1","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,20mar2020,5,3,2020,20,"East of England",0,70,4.248495,.2231436,,,1,1,0,1,0
"region","East of England","E12000006","2020-03-21",76,508,"East of England",508,"3","2","2","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,21mar2020,6,3,2020,21,"East of England",0,76,4.330733,.0822382,,,1,1,0,1,0
"region","East of England","E12000006","2020-03-22",91,599,"East of England",599,"3","2","2","0","1","2","2","0","2","2","2","1","0",1,1,1,0,1,1,1,22mar2020,0,3,2020,22,"East of England",0,91,4.510859,.1801262,,,1,1,0,1,1
"region","East of England","E12000006","2020-03-23",196,795,"East of England",795,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,23mar2020,1,3,2020,23,"East of England",0,196,5.278115,.7672553,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-24",165,960,"East of England",960,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,24mar2020,2,3,2020,24,"East of England",0,165,5.105946,,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-25",188,1148,"East of England",1148,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,25mar2020,3,3,2020,25,"East of England",0,188,5.236442,.1304965,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-26",215,1363,"East of England",1363,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,26mar2020,4,3,2020,26,"East of England",0,215,5.370638,.1341958,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-27",244,1607,"East of England",1607,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,27mar2020,5,3,2020,27,"East of England",0,244,5.497168,.1265302,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-28",183,1790,"East of England",1790,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,28mar2020,6,3,2020,28,"East of England",0,183,5.209486,,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-29",209,1999,"East of England",1999,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,29mar2020,0,3,2020,29,"East of England",0,209,5.342334,.1328483,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-30",300,2299,"East of England",2299,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,30mar2020,1,3,2020,30,"East of England",0,300,5.703783,.3614483,,,1,1,1,1,1
"region","East of England","E12000006","2020-03-31",322,2621,"East of England",2621,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,31mar2020,2,3,2020,31,"East of England",0,322,5.774551,.0707688,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-01",333,2954,"East of England",2954,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,01apr2020,3,4,2020,1,"East of England",0,333,5.808143,.0335913,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-02",372,3326,"East of England",3326,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,02apr2020,4,4,2020,2,"East of England",0,372,5.918894,.1107512,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-03",352,3678,"East of England",3678,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,03apr2020,5,4,2020,3,"East of England",0,352,5.863631,,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-04",269,3947,"East of England",3947,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,04apr2020,6,4,2020,4,"East of England",0,269,5.594711,,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-05",281,4228,"East of England",4228,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,05apr2020,0,4,2020,5,"East of England",0,281,5.638355,.0436435,,,1,1,1,1,1
"region","East of England","E12000006","2020-04-06",385,4613,"East of England",4613,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,06apr2020,1,4,2020,6,"East of England",0,385,5.953243,.3148885,,,1,1,1,1,1
"region","London","E12000007","2020-03-04",18,53,"London",53,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"London",1,,,,.3548142,.8918446,0,0,0,0,0
"region","London","E12000007","2020-03-05",14,67,"London",67,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"London",1,14,2.639057,,.3548142,.8918446,0,0,0,0,0
"region","London","E12000007","2020-03-06",23,90,"London",90,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,06mar2020,5,3,2020,6,"London",1,23,3.135494,.4964368,.3548142,.8918446,0,0,0,0,0
"region","London","E12000007","2020-03-07",14,104,"London",104,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,07mar2020,6,3,2020,7,"London",1,14,2.639057,,.3548142,.9770646,0,0,0,0,0
"region","London","E12000007","2020-03-08",22,126,"London",126,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,08mar2020,0,3,2020,8,"London",1,22,3.091043,.4519851,.3548142,.591247,0,0,0,0,0
"region","London","E12000007","2020-03-09",53,179,"London",179,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,09mar2020,1,3,2020,9,"London",1,53,3.970292,.8792493,.3548142,.8922741,0,0,0,0,0
"region","London","E12000007","2020-03-10",91,270,"London",270,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,10mar2020,2,3,2020,10,"London",1,91,4.510859,.5405676,.3548142,.7013764,0,0,0,0,0
"region","London","E12000007","2020-03-11",183,453,"London",453,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,11mar2020,3,3,2020,11,"London",1,183,5.209486,.6986265,.3548142,.468996,0,0,0,0,0
"region","London","E12000007","2020-03-12",165,618,"London",618,"0","0","0","0","0","0","0","0","0","0","2","1","0",0,0,0,0,0,0,0,12mar2020,4,3,2020,12,"London",1,165,5.105946,,.3548142,.4828412,0,0,0,0,0
"region","London","E12000007","2020-03-13",136,754,"London",754,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,13mar2020,5,3,2020,13,"London",1,136,4.912655,,.3548142,.5110694,0,1,0,0,0
"region","London","E12000007","2020-03-14",149,903,"London",903,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,14mar2020,6,3,2020,14,"London",1,149,5.003946,.0912914,.3548142,.0304305,0,1,0,0,0
"region","London","E12000007","2020-03-15",165,1068,"London",1068,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,15mar2020,0,3,2020,15,"London",1,165,5.105946,.1019993,.3548142,.4066846,0,1,0,0,0
"region","London","E12000007","2020-03-16",234,1302,"London",1302,"0","1","1","0","0","1","0","0","0","0","2","1","0",0,1,1,0,0,1,0,16mar2020,1,3,2020,16,"London",1,234,5.455321,.3493757,.3548142,.4602649,0,1,0,0,0
"region","London","E12000007","2020-03-17",310,1612,"London",1612,"0","1","1","0","0","1","0","0","0","1","2","1","0",0,1,1,0,0,1,0,17mar2020,2,3,2020,17,"London",1,310,5.736572,.281251,.3548142,.3189447,0,1,0,0,0
"region","London","E12000007","2020-03-18",356,1968,"London",1968,"3","1","1","0","0","1","0","0","0","1","2","1","0",1,1,1,0,0,1,0,18mar2020,3,3,2020,18,"London",1,356,5.874931,.1383586,.3548142,.4231735,1,1,0,0,0
"region","London","E12000007","2020-03-19",333,2301,"London",2301,"3","1","1","0","0","1","0","0","0","2","2","1","0",1,1,1,0,0,1,0,19mar2020,4,3,2020,19,"London",1,333,5.808143,,.3548142,.1988816,1,1,0,0,0
"region","London","E12000007","2020-03-20",426,2727,"London",2727,"3","1","1","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,20mar2020,5,3,2020,20,"London",1,426,6.05444,.2462969,.3548142,.2958459,1,1,0,1,0
"region","London","E12000007","2020-03-21",351,3078,"London",3078,"3","2","2","0","1","1","0","0","2","2","2","1","0",1,1,1,0,1,1,0,21mar2020,6,3,2020,21,"London",1,351,5.860786,,.3548142,.1930661,1,1,0,1,0
"region","London","E12000007","2020-03-22",437,3515,"London",3515,"3","2","2","0","1","2","2","0","2","2","2","1","0",1,1,1,0,1,1,1,22mar2020,0,3,2020,22,"London",1,437,6.079933,.2191467,.3548142,.1875628,1,1,0,1,1
"region","London","E12000007","2020-03-23",689,4204,"London",4204,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,23mar2020,1,3,2020,23,"London",1,689,6.535241,.455308,.3548142,.5453338,1,1,1,1,1
"region","London","E12000007","2020-03-24",637,4841,"London",4841,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,24mar2020,2,3,2020,24,"London",1,637,6.456769,,.3548142,.1663114,1,1,1,1,1
"region","London","E12000007","2020-03-25",759,5600,"London",5600,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,25mar2020,3,3,2020,25,"London",1,759,6.632002,.1752324,.3548142,.165223,1,1,1,1,1
"region","London","E12000007","2020-03-26",766,6366,"London",6366,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,26mar2020,4,3,2020,26,"London",1,766,6.641182,.0091801,.3548142,.1796846,1,1,1,1,1
"region","London","E12000007","2020-03-27",822,7188,"London",7188,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,27mar2020,5,3,2020,27,"London",1,822,6.71174,.0705585,.3548142,.0746584,1,1,1,1,1
"region","London","E12000007","2020-03-28",577,7765,"London",7765,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,28mar2020,6,3,2020,28,"London",1,577,6.357842,,.3548142,.1428822,1,1,1,1,1
"region","London","E12000007","2020-03-29",594,8359,"London",8359,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,29mar2020,0,3,2020,29,"London",1,594,6.386879,.029037,.3548142,.099328,1,1,1,1,1
"region","London","E12000007","2020-03-30",870,9229,"London",9229,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,30mar2020,1,3,2020,30,"London",1,870,6.768493,.3816137,.3548142,.3774268,1,1,1,1,1
"region","London","E12000007","2020-03-31",936,10165,"London",10165,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,31mar2020,2,3,2020,31,"London",1,936,6.841616,.0731225,.3548142,.1374423,1,1,1,1,1
"region","London","E12000007","2020-04-01",980,11145,"London",11145,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,01apr2020,3,4,2020,1,"London",1,980,6.887553,.0459371,.3548142,.1493758,1,1,1,1,1
"region","London","E12000007","2020-04-02",1071,12216,"London",12216,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,02apr2020,4,4,2020,2,"London",1,1071,6.976348,.0887952,.3548142,.076281,1,1,1,1,1
"region","London","E12000007","2020-04-03",981,13197,"London",13197,"3","2","2","4","1","2","2","0","2","2","2","1","0",1,1,1,1,1,1,1,03apr2020,5,4,2020,3,"London",1,981,6.888573,,.3548142,.110076,1,1,1,1,1
